gene_id	length	eff_length	est_counts	tpm
5S_rRNA	1259	330.4337	3.5	4.55091
5_8S_rRNA	1369	255.2775	126	164.3355
A1BG	9209	7822.805	9.0534651	0.1848345
A1BG-AS1	13082	10586.86	58.99995	1.3692853
A1CF	31017	28521.805	36.000048	0.485076
A2M-AS1	9430	8321	45	0.783612
A2ML1	15741	13246.009	2	0.0236426
A3GALT2	1023	745.754	1	0.0490247
A4GALT	9936	7997.489	185.00575	6.796674
AAAS	34773	28673.767	3458.000236	90.94044968
AACS	25778	22451.765	1821.1813	21.5547066
AACSP1	3917	3362.504	11	0.158037
AADAC	2282	1727.551	46.2943	3.831
AADACL2-AS1	1338	617.352	1.999997	1.198704
AADACP1	8212	6271.36	69.07824	3.87224
AADAT	11657	9439.204	336.00027	9.093001
AAGAB	10077	8136.407	805.05434	16.416931
AAK1	46502	42898.192	139.41852	1.5382148
AAMDC	6265	3216.867	275.01031	38.673058
AAMP	13558	10785.661	2910.99859	110.576709
AANAT	4158	3049.106	12	0.268209
AAR2	31125	27798	1884.00304	33.2988
AARS1	131955	120310.708	9030.4823345	109.799259873
AARS2	5533	4978.551	602.04484	5.087634
AARSD1	12838	7575.334	1232.09099	62.160058
AARSD1P1	1182	904.754	5.59745	0.226189
AASDH	24560	21790.08	261.00035	4.567007
AASDHPPT	10361	8974.856	1820.1099	32.654262
AASS	103052	95566.305	14.99995	0.1075364
AATF	50456	41601.829	5084.000668	107.0789169
AATK	29271	26223.649	29.3082	0.1447653
ABALON	1903	1625.75	6	0.13493
ABAT	26489	22053.408	15	0.23444
ABCA1	24091	22704.905	113	0.4077756
ABCA10	36023	32431.7193	3	0.019139
ABCA11P	6851	5742	66.36689	1.564918
ABCA12	16788	15956.301	7	0.0283704
ABCA13	48394	46176.101	3	0.0260974
ABCA15P	4804	3695.102	27.00005	1.0692459
ABCA17P	11103	9187.4363	2	0.37653
ABCA2	64968	58989.16	1657.5134116429	20.534586881468
ABCA3	20034	18370.512	876.99954	5.4940595
ABCA3P1	637	359.801	4.68235	0.475787
ABCA4	13456	11540.8198	5	0.0387874
ABCA5	35471	31589.712	181.999979	2.5656088
ABCA6	19752	17813.751	6.00085	0.0277406
ABCA7	32479	27494.066	420.0767	3.25832
ABCA9	18059	15910.4207	6.02241	0.191337
ABCB10	5358	4526.305	212.71351	2.386184
ABCB11	17741	15524.723	2	0.0109844
ABCB4	25968	22642.567	15	0.1526342
ABCB5	14863	13199.551	5.0098	0.0361067
ABCB6	16129	12525.166	1851.38291	40.237309
ABCB7	34202	29489.056	683.5931583	21.490460711
ABCB8	33889	27790.112	1535.24352	23.651423
ABCB9	42004	36470.176	315.499142	6.532286
ABCC1	64375	59384.618	10773.7899003143	82.284276001816
ABCC10	19002	16274.9526	391.99945	6.587844
ABCC11	27018	24522.903	8.19275	0.0817646
ABCC12	42507	38636.299	40.99997	0.5260095
ABCC2	16110	13337.618	16056.157	137.728863
ABCC3	29803	24819.588	23407.7368	373.15259
ABCC4	43400	38978.6478	4548.73405	33.9933333
ABCC5	32353	28748.962	627.00014	7.006007
ABCC6	37935	33499.208	235.9772	5.3632579
ABCC6P1	11680	10016.555	41.31022	1.4571135
ABCC6P2	2598	1489.204	34.8046860567806	3.01448820477442
ABCC8	390247	362522.774	63.99999872964	0.8502786157863
ABCC9	79424	73879.008	2.23638	0.00974442
ABCD1	5353	4521.305	105.00008	1.723244
ABCD2	6290	6012.75	3	0.0182414
ABCD3	16851	14910.356	2210.06591	47.355856
ABCD4	30518	22763.604	922.896659	31.8947697
ABCE1	13267	10495.789	5184.0077	68.42519
ABCF1	95837	82329.0328	2850.25386355915	38.1279506280619
ABCF2	7396	6070.6353	2747.73822	43.049127
ABCF2-H2BK1	2185	1907.75	1248.27	23.9219
ABCF3	20582	15592.069	1293.00032	36.387037
ABCG1	27939	24889.305	33	0.437492
ABCG2	14605	13218.852	3253.0113	40.004324
ABCG4	13493	11829.551	8.999997	0.2021222
ABCG5	11201	10092	1	0.0163599
ABCG8	12249	11417.25	3.08016	0.0247943
ABHD1	10893	8675.11	20.09898	0.8602728
ABHD10	6358	4971.856	1057.00036	23.750677
ABHD11	13306	9426.286	265.1637	15.504519
ABHD12	26384	19730.577	613.88885	19.839484
ABHD12B	11698	9232.3716	4	0.1037731
ABHD13	5313	5035.75	895	6.49784
ABHD14A	4232	2845.911	173.5691	8.93069
ABHD14A-ACY1	55711	47670.931	58.34551	2.1341858
ABHD14B	12619	10401.055	588.99965	15.669319
ABHD15	3492	3214.75	698.128	7.93959
ABHD16A	115586	87915.9	655.00005654	19.682102349
ABHD17A	18687	16469.055	604.26785	5.1649157
ABHD17B	4377	3822.5	644	10.70434
ABHD17C	8021	6634.852	867.0001	17.76798
ABHD18	17533	15869.551	281.86673	3.9920886
ABHD2	15733	12960.908	9052.9995	44.296123
ABHD3	11997	9265.0831	500.5162	17.9145758
ABHD4	9054	6392.1577	3247.99483	80.910576
ABHD5	28268	23832.22	492.0021	10.0304051
ABHD6	7586	5676.4998	283.81295	6.013159
ABHD8	3167	2335.352	98	2.03026
ABI1	39212	35607.801	1114.5449	14.9228855
ABI2	60976	54322.721	1380.96492	12.5629945
ABI3	5023	3914.055	1	0.0270466
ABI3BP	49452	41481.3088	10	1.18395
ABITRAM	3350	2246.197	731.21103	19.29794
ABL1	12829	11997.301	3544.07306	23.97199
ABL2	51826	47946.081	1606.0209	5.4943551
ABLIM1	44713	40569.2746	3976.01052	25.3368168
ABLIM2	39930	35254.6406	1	0.0260633
ABLIM3	26753	23703.454	27.000043	0.2892425
ABO	11951	10015.155	3	0.0642112
ABR	122394	94710.4736	4743.89206471759	63.8300120735113
ABRACL	1238	683.602	452.449	32.7688
ABRAXAS1	15206	12710.954	295.93365	5.4807868
ABRAXAS2	2955	2677.75	889	12.1379
ABT1	2943	2665.75	812	11.1364
ABTB1	20501	16342.666	468.00091	9.884994
ABTB2	5471	4916.551	1167	9.21958
ABTB3	20146	18205.403	155.99974	1.9087604
ACAA1	23594	18603.775	1127.00062	35.322561
ACAA2	10177	8236.403	2713.0077	71.134517
ACACA	122089	109378.9734	5655.2394894	34.95371976
ACACB	38581	34477.332	602.36434670612	5.7400851068615
ACAD10	32695	26042.579	1273.01243	19.701868
ACAD11	18787	16014.708	337.84919	5.175869
ACAD8	24051	19337.974	439.00008	8.609741
ACAD9	73163	64845.755	1208.0161	22.528274
