gene_id	length	eff_length	est_counts	tpm
5S_rRNA	1259	420.8777	2.5	2.45
5_8S_rRNA	1369	295.3895	321.375	373.98
A1BG	9209	7810.008	10.55528	0.7618201
A1BG-AS1	13082	10563.725	52.999997	1.3453591
A1CF	31017	28498.702	1490.91051	8.403438
A2M-AS1	9430	8310.76	22	0.4497495
A2ML1	15741	13222.941	4	0.173732
A4GALT	9936	7979.69	232.00032	8.295211
AAAS	34773	28617.272	3489.00058	92.9074466
AACS	25778	22420.98	1710.58932	21.6585251
AACSP1	3917	3357.376	19	0.27793
AADAC	2282	1722.376	23.5007	1.98985
AADACL2	14402	13282.76	3	0.0244212
AADACL2-AS1	1338	623.119	2	2.17255
AADACL3	7887	7327.38	1	0.0104687
AADACP1	8212	6253.345	104.44318	5.684995
AADAT	11657	9418.535	336.00042	8.766069
AAGAB	10077	8118.376	766.29849879	15.4108577643
AAK1	46502	42864.723	185.60571	0.6700625
AAMDC	6265	3188.518	200.0649	28.672184
AAMP	13558	10759.942	2915.9967	124.40594
AANAT	4158	3038.814	9	0.2359574
AAR2	31125	27767.28	2015.2587	36.147673
AARD	2791	2231.426	2.40223	0.0444173
AARS1	131955	120203.103	8871.00823157522	109.313363306872
AARS2	5533	4973.376	703.097	5.8602758
AARSD1	12838	7526.682	1191.16395	58.431743
AARSD1P1	1182	902.186	2	0.0824371
AASDH	24560	21764.627	275.9999225701	3.459736283437
AASDHPPT	10361	8962	1989.5436	37.42509
AASS	103052	95497.122	12.999994551739	0.11160601521649
AATBC	7419	6579.566	1.999999	0.0570187
AATF	50456	41520.09	5165.003802	109.1397774
AATK	29271	26195.479	58.03687	0.6537701
ABALON	1903	1623.19	2	0.0458195
ABAT	26489	22012.341	29.99996	0.4219999
ABCA1	24091	22691.962	139.99997358	0.5140259219
ABCA10	36023	32398.6546	10	0.066359
ABCA11P	6851	5731.76	59.80061	1.479607
ABCA12	16788	15948.632	47.999997	0.2543299
ABCA13	48394	46155.607	1.00738	0.00891897
ABCA15P	4804	3684.814	23.00941	0.7233828
ABCA17P	11103	9169.5402	6	0.157107
ABCA2	64968	58935.5715	1710.5016962	20.7495349248
ABCA3	20034	18355.128	651.99963	4.5808679
ABCA3P1	637	357.217	4	0.416406
ABCA4	13456	11522.8159	7	0.2271165
ABCA5	35471	31553.729	289.878163	3.83358003
ABCA6	19752	17796.06	1.00054	0.00470605
ABCA7	32479	27448.172	609.99917	6.238024
ABCA9	18059	15891.624	2.01015	0.0522974
ABCB1	20792	17714.267	15.999987	0.4409289
ABCB10	5358	4518.593	170.11604	1.956787
ABCB11	17741	15504.493	2.00006	0.2214048
ABCB4	25968	22611.844	20.99997	0.2986025
ABCB5	14863	13184.167	23.0006	0.2559317
ABCB6	16129	12491.523	2005.26798	39.755218
ABCB7	34202	29445.361	711.99392	28.656977
ABCB8	33889	27733.449	1674.40196	29.414601
ABCB9	42004	36419.0778	335.9998	8.6636421
ABCC1	64375	59338.458	9624.14094045696	72.1142840026864
ABCC10	19002	16249.9767	414.00027	5.2925681
ABCC11	27018	24499.791	9.89971	0.2099926
ABCC12	42507	38600.662	39.00003	1.1885355
ABCC2	16110	13311.926	17864.3805	154.648319
ABCC3	29803	24773.5	23509.12157	372.938486
ABCC4	43400	38937.8604	4242.3835848222	29.692338021481
ABCC5	32353	28715.508	743.99976	9.601501
ABCC6	37935	33458.152	420.13041	9.0861238
ABCC6P1	11680	10001.132	64.4253600157412	2.26139930025089
ABCC6P2	2598	1478.806	36.44396114718	3.3146460987074
ABCC8	390247	362266.673	55.00002435806	1.0669930736356
ABCC9	79424	73827.792	1.03051	0.00456851
ABCD1	5353	4513.593	276.0002	3.85169
ABCD2	6290	6010.19	2	0.0123746
ABCD3	16851	14892.38	2392.59762	48.5357732
ABCD4	30518	22691.551	897.203005	31.183448
ABCE1	13267	10469.867	4673.00461	62.206367
ABCF1	95837	82206.2431	2806.63370823856	41.2345546878958
ABCF2	7396	6059.2305	2804.8933	37.463253
ABCF2-H2BK1	2185	1905.19	1228.58	23.9802
ABCF3	20582	15545.635	1307.00042	36.769605
ABCG1	27939	24861.082	10.00711	0.1641969
ABCG2	14605	13206.008	2952.88295	40.0969795
ABCG4	13493	11814.186	6.999995	0.5311643
ABCG8	12249	11409.57	5.00007	0.05903
ABHD1	10893	8654.616	20.27044	0.511824
ABHD10	6358	4958.938	1201.0007	26.874884
ABHD11	13306	9390.365	310.90278	20.798109
ABHD12	26384	19668.705	573.05256	20.6805844
