gene_id	length	eff_length	est_counts	tpm
5S_rRNA	1259	334.0709	2	2.35413
5_8S_rRNA	1369	248.924	239.25	326.235
A1BG	9209	7892.774	26.41476	3.088418
A1BG-AS1	13082	10712.703	68.00003	1.73467
A1CF	31017	28647.668	20.99996	0.1707788
A2M-AS1	9430	8376.96	39	0.658889
A3GALT2	1023	759.744	2	0.100071
A4GALT	9936	8094.155	217.99992	7.269257
AAAS	34773	28981.42	2386.00067	63.897841
AACS	25778	22619.232	953.670587	11.8739736
AACSP1	3917	3390.484	33	0.5211153
AADAC	2282	1755.484	1.55226	0.129476
AADACL2	14402	13348.96	2	0.0165829
AADACP1	8212	6369.192	23.98277	1.358435
AADAT	11657	9550.936	386.00036	9.082575
AAGAB	10077	8234.25	959.1444	19.81184
AAK1	46502	43079.772	255.33978	1.362551
AAMDC	6265	3369.835	249.02752	33.220839
AAMP	13558	10925.447	3854.00392	142.632062
AANAT	4158	3105.038	4.20515	0.0968972
AAR2	31125	27965.88	1427.0004	25.004294
AARS1	131955	120898.202	8029.09956928649	101.446825971315
AARS2	5533	5006.484	625	5.3115024
AARSD1	12838	7838.175	1181.57634	58.4086649
AARSD1P1	1182	918.744	1.5518	0.0642076
AASDH	24560	21928.452	328.00017	4.6108885
AASDHPPT	10361	9044.739	2230.00416	43.26689
AASS	103052	95943.988	17.00004	0.1180651
AATF	50456	42041.238	5495.0013487	121.162613262
AATK	29271	26376.13	9.000003	0.1519575
ABALON	1903	1639.74	1	0.023183
ABAT	26489	22277.156	22.00005	0.2041312
ABCA1	24091	22774.628	1591.0035	6.2533215
ABCA10	36023	32608.952	8	0.14221446
ABCA11P	6851	5797.96	30.73434	0.8011459
ABCA12	16788	15998.272	27.99997	0.342791
ABCA13	48394	46287.967	8	0.0727435
ABCA15P	4804	3751.022	25.00001	2.2561498
ABCA17P	11103	9279.4074	1	0.0264586
ABCA2	64968	59280.3942	1291.909789	16.89682204
ABCA3	20034	18454.452	692.0003	4.5366636
ABCA4	13456	11632.7135	5	0.0269042
ABCA5	35471	31785.411	358.99991	5.13849
ABCA6	19752	17910.294	2.0003	0.00959769
ABCA7	32479	27742.906	431.00002	5.13412
ABCA8	33296	29610.635	1	0.0112013
ABCB10	5358	4568.228	256.63626	2.983598
ABCB10P3	4329	3802.48	0.0370634	0.000741645
ABCB11	17741	15635.729	3	0.017096
ABCB4	25968	22809.5	1	0.0205622
ABCB5	14863	13283.444	1	0.0191629
ABCB6	16129	12706.741	1369.75128	32.694011
ABCB7	34202	29726.712	985.125620146252	28.380081203017
ABCB8	33889	28097.586	1557.99937	29.487543
ABCB9	42004	36745.429	197.00634	3.4560517
ABCC1	64375	59636.398	8767.950772	67.6822622
ABCC10	19002	16406.1966	448.99995	5.864864
ABCC11	27018	24648.726	2.000001	0.0245294
ABCC12	42507	38827.742	11	0.1341563
ABCC2	16110	13477.451	8448.73009	73.154834
ABCC3	29803	25067.674	11138.60206	193.54972
ABCC4	43400	39197.582	2901.984514789	20.9202261018
ABCC5	32353	28930.698	1064.000107	10.7590975
ABCC6	37935	33722.992	132.215351	2.7747229
